"","ImageNumber","ObjectNumber","TP53BP1_Count","rH2AX_Count","Intensity_DAPI","Intensity_TP53BP1","MeanIntensity_TP53BP1_foci","MeanIntensity_rH2AX_foci","sample","treat","replicate"
"553",18,18,1,0,199.921859222464,3.09300375939347,0.0192721447286506,0,"FUSClone110","mock","R1"
"554",18,19,4,0,156.188846115256,2.36672008712776,0.0337808224306043,0,"FUSClone110","mock","R1"
"555",18,20,6,0,198.845029960852,4.09295799187385,0.0316546398337879,0,"FUSClone110","mock","R1"
"556",18,21,8,0,172.80393773783,7.54909594799392,0.0318069542774798,0,"FUSClone110","mock","R1"
"557",18,22,0,0,220.457954579731,2.29925995320082,0,0,"FUSClone110","mock","R1"
"558",18,23,6,0,138.662882887293,5.65372703550383,0.0369002928502021,0,"FUSClone110","mock","R1"
"559",18,24,0,0,210.355780026643,2.98243688885123,0,0,"FUSClone110","mock","R1"
"560",18,25,1,0,111.829343530349,0.903028920060024,0.0210849164053798,0,"FUSClone110","mock","R1"
"561",18,26,3,0,69.2024876396172,2.91354240220971,0.0299183687927713,0,"FUSClone110","mock","R1"
"562",18,27,0,0,111.129122494953,2.29497216828167,0,0,"FUSClone110","mock","R1"
"563",18,28,2,0,151.760433939286,2.59465936175548,0.0298153658242275,0,"FUSClone110","mock","R1"
"564",19,1,1,0,167.086732756579,2.35999085614458,0.034054322168231,0,"FUSClone110","mock","R1"
"565",19,2,5,2,164.23378409259,5.02357521769591,0.0354215958029658,0.0313140562114616,"FUSClone110","mock","R1"
"566",19,3,1,0,98.4801104059443,1.53345541562885,0.0279964902438223,0,"FUSClone110","mock","R1"
"567",19,4,7,0,162.949035430793,4.79928286070935,0.0336523471983383,0,"FUSClone110","mock","R1"
"568",19,5,9,0,282.210346422391,5.90157934371382,0.0290206360067218,0,"FUSClone110","mock","R1"
"569",19,6,1,0,272.839964055456,3.01011675223708,0.0432345313020051,0,"FUSClone110","mock","R1"
"570",19,7,9,0,193.967819266953,4.52907608961686,0.0322472429033313,0,"FUSClone110","mock","R1"
"571",19,8,1,0,177.78616063064,3.17419701279141,0.0287785148248076,0,"FUSClone110","mock","R1"
"572",19,9,0,0,274.444297751179,3.99392694770359,0,0,"FUSClone110","mock","R1"
"573",19,10,4,1,245.879896939499,4.15390251716599,0.0393933586416427,0.024516162276268,"FUSClone110","mock","R1"
"574",19,11,0,2,348.428977925796,3.66507975733839,0,0.0230817502131686,"FUSClone110","mock","R1"
"575",19,12,8,2,205.119951781584,5.61582364374772,0.0447388777702362,0.0205345108940188,"FUSClone110","mock","R1"
"576",19,13,2,0,300.060655402718,4.0111238528043,0.0277180130360648,0,"FUSClone110","mock","R1"
"577",19,14,2,0,240.638087196276,1.77526513650082,0.022807278810069,0,"FUSClone110","mock","R1"
"578",19,15,4,0,225.886885584798,3.55216298624873,0.033998592727137,0,"FUSClone110","mock","R1"
"579",19,16,4,4,201.286366762128,3.97248799935915,0.0385156629622309,0.0344255738904454,"FUSClone110","mock","R1"
"580",19,17,4,0,268.492592602037,4.93521022377536,0.027696709599919,0,"FUSClone110","mock","R1"
"581",19,18,0,0,195.852720640134,3.20779738086276,0,0,"FUSClone110","mock","R1"
"582",19,19,1,0,237.336080707842,2.22740522306412,0.0426604107487947,0,"FUSClone110","mock","R1"
"583",19,20,4,3,196.478523638099,2.34819562826306,0.030588489662235,0.0316380783358751,"FUSClone110","mock","R1"
"584",19,21,6,1,166.919738115743,4.30705731851049,0.0357308663390381,0.033933372291572,"FUSClone110","mock","R1"
"585",19,22,1,0,150.059098523343,2.80929277185351,0.0453866892494261,0,"FUSClone110","mock","R1"
"586",19,23,0,0,140.298085577087,2.28537424164824,0,0,"FUSClone110","mock","R1"
"587",19,24,5,0,216.517037365353,3.72486458648928,0.0323416567239023,0,"FUSClone110","mock","R1"
"588",19,25,1,0,106.441398158669,2.50293738092296,0.038712138723996,0,"FUSClone110","mock","R1"
