,Data Set,Target,Sample,Ctrl,Relative Quantity,Relative Quantity SD,Corrected Relative Quantity SD,Relative Quantity SEM,Corrected Relative Quantity SEM,Unscaled Expression,Unscaled Expression SD,Corrected Unscaled Expression SD,Unscaled Expression SEM,Corrected Unscaled Expression SEM,Expression,Expression SD,Corrected Expression SD,Expression SEM,Corrected Expression SEM,Wells,Mean Cq,Cq SD,Cq SEM
,Multiple,PML,GUSU2OS,*,1,0.0703729754919136,0.0703729754919136,0.0165870693942023,0.0165870693942023,1,0.10428893995035,0.10428893995035,0.0245811388805497,0.0245811388805497,1,0.10428893995035,0.10428893995035,0.0245811388805497,0.0245811388805497,18,23.2437857633584,0.101526742754784,0.0239300827578967
,Multiple,POLD4,FUSClone110,,0.448096722132344,0.0453249546518973,0.0453249546518973,0.0185038352519892,0.0185038352519892,0.389584142547859,0.0702418750205833,0.0702418750205833,0.0286761253961295,0.0286761253961295,0.389584142547859,0.0702418750205833,0.0702418750205833,0.0286761253961295,0.0286761253961295,6,23.3785574260499,0.145928510687692,0.0595750650181876
,Multiple,POLD4,GUSClone110,,0.786321491741856,0.0775542127818565,0.0775542127818565,0.0316613747864636,0.0316613747864636,0.790701445616194,0.104245920333097,0.104245920333097,0.042558218763819,0.042558218763819,0.790701445616194,0.104245920333097,0.104245920333097,0.042558218763819,0.042558218763819,6,22.567248312463,0.142291771693255,0.0580903725408457
,Multiple,POLD4,GUSU2OS,*,1,0.0623013946357927,0.0623013946357927,0.0254344378535769,0.0254344378535769,1,0.0990216697998323,0.0990216697998323,0.0404254274146587,0.0404254274146587,1,0.0990216697998323,0.0990216697998323,0.0404254274146587,0.0404254274146587,6,22.2204395042481,0.0898819130815244,0.0366941373591539
,Multiple,RFC3,FUSClone110,,0.919184720259407,0.0755981561285093,0.0755981561285093,0.0178186562812228,0.0178186562812228,0.799157354647176,0.136187413588025,0.136187413588025,0.0320996812201164,0.0320996812201164,0.799157354647176,0.136187413588025,0.136187413588025,0.0320996812201164,0.0320996812201164,18,27.815683447688,0.118654153559222,0.0279670521992252
,Multiple,RFC3,GUSClone110,,0.620438009782354,0.115067654443871,0.115067654443871,0.0271217062508305,0.0271217062508305,0.623893962459818,0.1279365532328,0.1279365532328,0.0301549347841822,0.0301549347841822,0.623893962459818,0.1279365532328,0.1279365532328,0.0301549347841822,0.0301549347841822,18,28.3827511910944,0.267565061803889,0.0630656898700426
,Multiple,RFC3,GUSU2OS,*,1,0.160601602347445,0.160601602347445,0.0378541606964346,0.0378541606964346,1,0.178091835840246,0.178091835840246,0.0419766482655332,0.0419766482655332,1,0.178091835840246,0.178091835840246,0.0419766482655332,0.0419766482655332,18,27.6941101688556,0.231699135265481,0.0546120099137602
,Multiple,RFC4,FUSClone110,,0.987735651178532,0.0785170315562129,0.0785170315562129,0.0167398873739007,0.0167398873739007,0.858756888238714,0.145217834740226,0.145217834740226,0.0309605463942267,0.0309605463942267,0.858756888238714,0.145217834740226,0.145217834740226,0.0309605463942267,0.0309605463942267,22,21.0351074584488,0.114682639951604,0.0244504209912345
,Multiple,RFC4,GUSClone110,,0.492685755279823,0.0446221999652351,0.0446221999652351,0.00951348499795142,0.00951348499795142,0.49543010463989,0.0623864782311477,0.0623864782311477,0.0133008418497844,0.0133008418497844,0.49543010463989,0.0623864782311477,0.0623864782311477,0.0133008418497844,0.0133008418497844,22,22.0385646812953,0.130663868223342,0.0278576303070115
,Multiple,RFC4,GUSU2OS,*,1,0.126643214635757,0.126643214635757,0.0270004240819208,0.0270004240819208,1,0.148196933604109,0.148196933604109,0.0315956924061009,0.0315956924061009,1,0.148196933604109,0.148196933604109,0.0315956924061009,0.0315956924061009,22,21.0173043469067,0.182707537717244,0.038953377924886
,Multiple,RHOB,FUSClone110,,0.794711878162115,0.102554432640961,0.102554432640961,0.0241723115870543,0.0241723115870543,0.690938206718112,0.136326029895758,0.136326029895758,0.0321323533971769,0.0321323533971769,0.690938206718112,0.136326029895758,0.136326029895758,0.0321323533971769,0.0321323533971769,18,22.3102069817705,0.186174103417786,0.0438816570026807
