ERD	MRD	LRD
	128822	
	1471	
	1472	
	1469	
	1470	
	1473	
	339568	
	9935	
	101927138	
	101927700	
	4159	
	6790	
	1477	
	100506384	
	693231	
	100616362	
	100616440	
	140578	
	7074	
	102724023	
	1826	
	118421	
	728299	
	5121	
	100616148	
	100874326	
	9215	
	8224	
	284930	
	25817	
	100128946	
	105373006	
	100616295	
	400932	
	100422916	
	284933	
	100616415	
