UNIPROT,Gene,PSMs_bio3,Peptides_bio3,Unique Peptides_bio3,PSMs_bio2,Peptides_bio2,Unique Peptides_bio2,PSMs_bio1,Peptides_bio1,Unique Peptides_bio1
Q00325,SLC25A3,NA,NA,NA,NA,NA,NA,NA,NA,NA
O95249,GOSR1,NA,NA,NA,NA,NA,NA,NA,NA,NA
P31930,UQCRC1,NA,NA,NA,NA,NA,NA,NA,NA,NA
O75175,CNOT3,NA,NA,NA,NA,NA,NA,NA,NA,NA
P46379,BAG6,NA,NA,NA,3,3,3,NA,NA,NA
Q96B97,SH3KBP1,NA,NA,NA,6,3,3,NA,NA,NA
Q9UL18,AGO1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9NYZ3,GTSE1,NA,NA,NA,NA,NA,NA,NA,NA,NA
O94832,MYO1D,NA,NA,NA,NA,NA,NA,NA,NA,NA
P35609,ACTN2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q86VS8,HOOK3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q86X29,LSR,NA,NA,NA,NA,NA,NA,NA,NA,NA
O95782,AP2A1,5,4,4,7,4,4,4,3,3
O43347,MSI1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q12840,KIF5A,NA,NA,NA,NA,NA,NA,NA,NA,NA
P13535,MYH8,8,5,2,NA,NA,NA,NA,NA,NA
A7E2Y1,MYH7B,NA,NA,NA,NA,NA,NA,NA,NA,NA
O95487,SEC24B,6,6,5,5,4,4,9,6,6
Q9UP95,SLC12A4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9UBF9,MYOT,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q15599,SLC9A3R2,NA,NA,NA,NA,NA,NA,NA,NA,NA
O60282,KIF5C,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q6STE5,SMARCD3,NA,NA,NA,NA,NA,NA,NA,NA,NA
O94855,SEC24D,NA,NA,NA,NA,NA,NA,NA,NA,NA
O94973,AP2A2,NA,NA,NA,NA,NA,NA,NA,NA,NA
O43294,TGFB1I1,NA,NA,NA,NA,NA,NA,NA,NA,NA
P12829,MYL4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q07866,KLC1,NA,NA,NA,8,5,2,NA,NA,NA
P42126,ECI1,NA,NA,NA,NA,NA,NA,NA,NA,NA
P12882,MYH1,6,4,1,NA,NA,NA,NA,NA,NA
Q09472,EP300,7,6,6,3,2,2,5,4,4
O60763,USO1,NA,NA,NA,3,2,2,3,3,3
P59190,RAB15,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9UQN3,CHMP2B,NA,NA,NA,NA,NA,NA,NA,NA,NA
A0A075B6Q5|A0A0A0MS15|A0A0B4J1V0|A0A0B4J1V1|A0A0B4J1Y9|P01762|P01782,IGHV3-64|IGHV3-49|IGHV3-15|IGHV3-21|IGHV3-72|IGHV3-11|IGHV3-9,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q8IYB5,SMAP1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q14671,PUM1,NA,NA,NA,NA,NA,NA,NA,NA,NA
P52594,AGFG1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9H269,VPS16,NA,NA,NA,NA,NA,NA,NA,NA,NA
P11055,MYH3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9NSK0,KLC4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q9UKG1,APPL1,NA,NA,NA,NA,NA,NA,NA,NA,NA
P33176,KIF5B,66,32,32,59,26,26,52,25,25
O00443,PIK3C2A,NA,NA,NA,NA,NA,NA,NA,NA,NA
P43304,GPD2,NA,NA,NA,NA,NA,NA,NA,NA,NA
